location,location_other,timezone,expenses,workspace,class_attendance,enrollment_changes,preferred_grading,flu_symptoms,tested,self_quarantined,know_positive,spring_break,harvard_handling,harvard_comments,govt_handling,govt_comments,normal_estimate,thoughts,year,gender,ethnicity,freshman_dorm,house,concentration
Family home,,-4,0,I have a quiet space to work but not reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",2,Not transparent or organized at all.,1,Care more about economic than public health.,3-6 months,,2021,Female,Black or African American,,Adams,Computer Science
On campus with exemption,,-4,0,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,I have self-quarantinined from family and friends,No,"No, I did not have spring break plans",6,,4,,2-3 months,,2022,Female,Asian,,Eliot,Computer Science
Family home,,-4,400,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have not self-quarantined after leaving campus,No,"No, I did not have spring break plans",7,,4,,3-6 months,,2023,Male,White,Wigglesworth,N/A,Astrophysics
Family home,,-5,100,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",8,I think it was short notice but appropriate.,6,Poor leadership and confusing/mixed strategy.,2-3 months,,2021,Male,Asian,,Dunster,Chemical and Physical Biology
Family home,,-5,30,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,None of the above,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",8,,1,,3-6 months,,2023,Female,Asian,Canaday,N/A,Applied Mathematics
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,Yes,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",7,,3,,3-6 months,,2022,Female,Hispanic or Latino,N/A,Currier,Economics
On campus with exemption,,-4,0,I have reliable internet access and a quiet space to work,Watching recorded lecture,I have not made grading or enrollment changes,Universal pass/fail,No,No,I have not self-quarantined after leaving campus,Yes,"No, I did not have spring break plans",3,,4,,2-3 months,,2020,Male,Middle Eastern or North African,Holworthy,Pfoho,Computer Science
Family home,,-5,400,I have neither a quiet space to work nor reliable internet access,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I did not have spring break plans",6,Hard to expect all students to be able to settle in and meet course expectations during such a tumultuous time.,3,,6-12 months,,2020,Male,White,,Currier,Mechanical Engineering
Family home,,-5,100,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,I have self-quarantinined from family and friends,No,"No, I cancelled spring break plans",7,,2,,6-12 months,,2020,Male,Asian,N/A,Lowell,Economics
Family home,,-4,0,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,"The further and further we get, the more obvious it is to me that they made the right choice.",3,,6-12 months,,2023,Male,"White,Hispanic or Latino",Wigglesworth,,"Economics,    Philosophy"
Family home,,-4,500,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",Yes,"No, I cancelled spring break plans",8,,3,,3-6 months,,2021,Female,White,,Mather,Economics
Family home,,-4,0,I have neither a quiet space to work nor reliable internet access,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,I have self-quarantinined from family and friends,No,"No, I did not have spring break plans",3,,1,,3-6 months,,2022,Female,Asian,,Leverett,Computer Science
Family home,,-7,175,I have reliable internet access and a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Optional pass/fail,No,No,I have self-quarantinined from family and friends,No,"No, I did not have spring break plans",5,"Could have been more transparent about why deadlines were so soon... found out afterward that orders to shut down airports were slated to go into effect around the time that we had to leave campus, so it made sense, but they could have explained that rationale to us. ",4,"Too little, too late",3-6 months,,2021,Female,Asian,,Currier,Government
A friend's house,,-4,600,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have changed classes to pass/fail,Universal pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",4,,2,,3-6 months,,2021,Female,"White,Asian",Canaday,Currier,History
Family home,,-4,500,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",6,"I'm quite sad as a senior who missed the last 2 months of school, but I honestly think Harvard handled it pretty well given how rapidly this situation has changed. It would be a nightmare for HUHS to try to deal with an outbreak on campus, as they weren't even able to successfully diagnose my pneumonia in past years.",7,,3-6 months,Impacted post-grad job recruiting in a way I hadn't anticipated; lost verbal offers and was notified of hiring freezes after making it to the final interview round at several firms,2020,Female,White,Holworthy,Mather,History
Family home,,-4,1000,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal pass/fail,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",6,"I understand that forcing students off campus was most likely the best of several bad options, but I wish they had given us more time/warning that something like this might happen.",4,At this point I've stopped checking the news because it was causing me a lot of stress without much benefit.,2-3 months,,2021,Female,White,,Lowell,Human Evolutionary Biology
On campus with exemption,,-4,600,I have reliable internet access but not a quiet space to work,Watching live on Zoom,I have not made grading or enrollment changes,Universal A/A-,Severe symptoms,No,I have self-quarantinined from family and friends,Yes,"No, I cancelled spring break plans",5,,6,,2-3 months,,2020,Male,Black or African American,,Kirkland,Biomedical Engineering
A friend's house,,-4,450,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,No,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",8,,3,,2-3 months,,2023,Female,White,Weld,,Philosophy
Family home,,-5,700,I have reliable internet access and a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Optional pass/fail,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",7,,4,,2-3 months,,2021,Female,Asian,,Adams,
Family home,,-4,500,I have reliable internet access but not a quiet space to work,Mix of both live and recorded lectures/sections,I have not made grading or enrollment changes,Universal A/A-,Mild symptoms,No,"I have self-quarantined from friends, but not from immediate family",No,"No, I cancelled spring break plans",4,,6,,2-3 months,,2021,Female,White,N/A,Cabot,Molecular and Cellular Biology
